Created Date,Complaint Type,Borough,count
2011/08/05,electric,BRONX,33
2011/08/06,electric,BRONX,7
2011/08/07,electric,BRONX,9
2011/08/08,electric,BRONX,37
2011/08/09,electric,BRONX,49
2011/08/10,electric,BRONX,37
2011/08/11,electric,BRONX,37
2011/08/12,electric,BRONX,22
2011/08/13,electric,BRONX,12
2011/08/14,electric,BRONX,6
2011/08/15,electric,BRONX,42
2011/08/16,electric,BRONX,29
2011/08/17,electric,BRONX,40
2011/08/18,electric,BRONX,41
2011/08/19,electric,BRONX,32
2011/08/20,electric,BRONX,5
2011/08/21,electric,BRONX,22
2011/08/22,electric,BRONX,57
2011/08/23,electric,BRONX,41
2011/08/24,electric,BRONX,37
2011/08/25,electric,BRONX,38
2011/08/26,electric,BRONX,18
2011/08/27,electric,BRONX,3
2011/08/28,electric,BRONX,7
2011/08/29,electric,BRONX,43
2011/08/30,electric,BRONX,27
2011/08/31,electric,BRONX,41
2011/09/01,electric,BRONX,22
2011/09/02,electric,BRONX,21
2011/09/03,electric,BRONX,8
2011/09/04,electric,BRONX,12
2011/09/05,electric,BRONX,19
2011/09/06,electric,BRONX,40
2011/09/07,electric,BRONX,38
2011/09/08,electric,BRONX,45
2011/09/09,electric,BRONX,19
2011/09/10,electric,BRONX,6
2011/09/11,electric,BRONX,10
2011/09/12,electric,BRONX,49
2011/09/13,electric,BRONX,29
2011/09/14,electric,BRONX,41
2011/09/15,electric,BRONX,32
2011/09/16,electric,BRONX,50
2011/09/17,electric,BRONX,5
2011/09/18,electric,BRONX,7
2011/09/19,electric,BRONX,31
2011/09/20,electric,BRONX,44
2011/09/21,electric,BRONX,29
2011/09/22,electric,BRONX,36
2011/09/23,electric,BRONX,25
2011/09/25,electric,BRONX,12
2011/09/26,electric,BRONX,56
2011/09/27,electric,BRONX,50
2011/09/28,electric,BRONX,26
2011/09/29,electric,BRONX,35
2011/09/30,electric,BRONX,18
2011/10/01,electric,BRONX,8
2011/10/02,electric,BRONX,6
2011/10/03,electric,BRONX,17
2011/10/04,electric,BRONX,20
2011/10/05,electric,BRONX,31
2011/10/06,electric,BRONX,31
2011/10/07,electric,BRONX,19
2011/10/08,electric,BRONX,17
2011/10/09,electric,BRONX,10
2011/10/10,electric,BRONX,11
2011/10/11,electric,BRONX,28
2011/10/12,electric,BRONX,60
2011/10/13,electric,BRONX,43
2011/10/14,electric,BRONX,47
2011/10/15,electric,BRONX,18
2011/10/16,electric,BRONX,17
2011/10/17,electric,BRONX,65
2011/10/18,electric,BRONX,44
2011/10/19,electric,BRONX,74
2011/10/20,electric,BRONX,29
2011/10/21,electric,BRONX,29
2011/10/22,electric,BRONX,12
2011/10/23,electric,BRONX,23
2011/10/24,electric,BRONX,41
2011/10/25,electric,BRONX,35
2011/10/26,electric,BRONX,52
2011/10/27,electric,BRONX,33
2011/10/28,electric,BRONX,45
2011/10/29,electric,BRONX,15
2011/10/30,electric,BRONX,26
2011/10/31,electric,BRONX,37
2011/11/01,electric,BRONX,28
2011/11/02,electric,BRONX,39
2011/11/03,electric,BRONX,36
2011/11/04,electric,BRONX,36
2011/11/05,electric,BRONX,14
2011/11/06,electric,BRONX,11
2011/11/07,electric,BRONX,35
2011/11/08,electric,BRONX,23
2011/11/09,electric,BRONX,38
2011/11/10,electric,BRONX,27
2011/11/11,electric,BRONX,23
2011/11/12,electric,BRONX,11
2011/11/13,electric,BRONX,11
2011/11/14,electric,BRONX,42
2011/11/15,electric,BRONX,24
2011/11/16,electric,BRONX,44
2011/11/17,electric,BRONX,29
2011/11/18,electric,BRONX,27
2011/11/19,electric,BRONX,15
2011/11/20,electric,BRONX,8
2011/11/21,electric,BRONX,66
2011/11/22,electric,BRONX,28
2011/11/23,electric,BRONX,30
2011/11/24,electric,BRONX,13
2011/11/25,electric,BRONX,22
2011/11/26,electric,BRONX,16
2011/11/27,electric,BRONX,16
2011/11/28,electric,BRONX,35
2011/11/29,electric,BRONX,36
2011/11/30,electric,BRONX,49
2011/12/01,electric,BRONX,42
2011/12/02,electric,BRONX,32
2011/12/03,electric,BRONX,17
2011/12/04,electric,BRONX,18
2011/12/05,electric,BRONX,71
2011/12/06,electric,BRONX,49
2011/12/07,electric,BRONX,35
2011/12/08,electric,BRONX,33
2011/12/09,electric,BRONX,48
2011/12/10,electric,BRONX,12
2011/12/11,electric,BRONX,24
2011/12/12,electric,BRONX,45
2011/12/13,electric,BRONX,63
2011/12/14,electric,BRONX,28
2011/12/15,electric,BRONX,46
2011/12/16,electric,BRONX,29
2011/12/17,electric,BRONX,11
2011/12/18,electric,BRONX,18
2011/12/19,electric,BRONX,43
2011/12/20,electric,BRONX,31
2011/12/21,electric,BRONX,45
2011/12/22,electric,BRONX,12
2011/12/23,electric,BRONX,25
2011/12/24,electric,BRONX,23
2011/12/25,electric,BRONX,3
2011/12/26,electric,BRONX,22
2011/12/27,electric,BRONX,35
2011/12/28,electric,BRONX,24
2011/12/29,electric,BRONX,40
2011/12/30,electric,BRONX,17
2011/12/31,electric,BRONX,3
2012/01/01,electric,BRONX,8
2012/01/02,electric,BRONX,21
2012/01/03,electric,BRONX,38
2012/01/04,electric,BRONX,52
2012/01/05,electric,BRONX,33
2012/01/06,electric,BRONX,35
2012/01/07,electric,BRONX,7
2012/01/08,electric,BRONX,9
2012/01/09,electric,BRONX,34
2012/01/10,electric,BRONX,24
2012/01/11,electric,BRONX,30
2012/01/12,electric,BRONX,41
2012/01/13,electric,BRONX,31
2012/01/14,electric,BRONX,19
2012/01/15,electric,BRONX,22
2012/01/16,electric,BRONX,32
2012/01/17,electric,BRONX,38
2012/01/18,electric,BRONX,45
2012/01/19,electric,BRONX,47
2012/01/20,electric,BRONX,34
2012/01/21,electric,BRONX,16
2012/01/22,electric,BRONX,21
2012/01/23,electric,BRONX,47
2012/01/24,electric,BRONX,26
2012/01/25,electric,BRONX,27
2012/01/26,electric,BRONX,28
2012/01/27,electric,BRONX,26
2012/01/29,electric,BRONX,10
2012/01/30,electric,BRONX,53
2012/01/31,electric,BRONX,29
2012/02/01,electric,BRONX,23
2012/02/02,electric,BRONX,34
2012/02/03,electric,BRONX,30
2012/02/04,electric,BRONX,11
2012/02/05,electric,BRONX,7
2012/02/06,electric,BRONX,34
2012/02/07,electric,BRONX,47
2012/02/08,electric,BRONX,25
2012/02/09,electric,BRONX,29
2012/02/10,electric,BRONX,34
2012/02/11,electric,BRONX,10
2012/02/12,electric,BRONX,8
2012/02/13,electric,BRONX,39
2012/02/14,electric,BRONX,28
2012/02/15,electric,BRONX,19
2012/02/16,electric,BRONX,20
2012/02/17,electric,BRONX,34
2012/02/18,electric,BRONX,15
2012/02/19,electric,BRONX,11
2012/02/20,electric,BRONX,38
2012/02/21,electric,BRONX,21
2012/02/22,electric,BRONX,33
2012/02/23,electric,BRONX,33
2012/02/24,electric,BRONX,25
2012/02/25,electric,BRONX,18
2012/02/26,electric,BRONX,21
2012/02/27,electric,BRONX,26
2012/02/28,electric,BRONX,18
2012/02/29,electric,BRONX,29
2012/03/01,electric,BRONX,35
2012/03/02,electric,BRONX,45
2012/03/03,electric,BRONX,20
2012/03/04,electric,BRONX,20
2012/03/05,electric,BRONX,39
2012/03/06,electric,BRONX,18
2012/03/07,electric,BRONX,22
2012/03/08,electric,BRONX,32
2012/03/09,electric,BRONX,37
2012/03/10,electric,BRONX,22
2012/03/11,electric,BRONX,16
2012/03/12,electric,BRONX,24
2012/03/13,electric,BRONX,53
2012/03/14,electric,BRONX,29
2012/03/15,electric,BRONX,29
2012/03/16,electric,BRONX,23
2012/03/17,electric,BRONX,8
2012/03/18,electric,BRONX,9
2012/03/19,electric,BRONX,31
2012/03/20,electric,BRONX,41
2012/03/21,electric,BRONX,29
2012/03/22,electric,BRONX,31
2012/03/23,electric,BRONX,18
2012/03/24,electric,BRONX,14
2012/03/25,electric,BRONX,16
2012/03/26,electric,BRONX,33
2012/03/27,electric,BRONX,24
2012/03/28,electric,BRONX,19
2012/03/29,electric,BRONX,22
2012/03/30,electric,BRONX,27
2012/03/31,electric,BRONX,15
2012/04/01,electric,BRONX,11
2012/04/02,electric,BRONX,34
2012/04/03,electric,BRONX,31
2012/04/04,electric,BRONX,11
